Packet [ 499 ]: 500587.74271, 3,   1.302,  4.262,  7.767
Packet [ 408 ]: 500588.29269, 3,   0.220,  4.884,  7.949, 4,   0.023, -0.026, -0.022
Packet [ 407 ]: 500588.29769, 3,   0.163,  4.951,  7.872, 4,   0.018, -0.020, -0.029, 5, -340.313, 39.688,-66.188
Packet [ 406 ]: 500588.30270, 3,   0.124,  5.028,  7.863, 4,   0.010, -0.018, -0.037
Packet [ 405 ]: 500588.30771, 3,   0.144,  5.133,  7.930, 4,  -0.002, -0.016, -0.039, 5, -340.313, 40.063,-65.750
Packet [ 404 ]: 500588.31268, 3,   0.172,  5.143,  8.006, 4,  -0.016, -0.013, -0.037
Packet [ 403 ]: 500588.31769, 3,   0.230,  5.095,  8.140, 4,  -0.032, -0.010, -0.029, 5, -339.688, 40.125,-65.313
Packet [ 402 ]: 500588.32269, 3,   0.230,  5.037,  8.217, 4,  -0.035, -0.010, -0.026
Packet [ 401 ]: 500588.32770, 3,   0.192,  4.970,  8.322, 4,  -0.034, -0.012, -0.023, 5, -339.563, 40.000,-65.313
Packet [ 400 ]: 500588.33270, 3,   0.134,  4.913,  8.341, 4,  -0.032, -0.015, -0.024
Packet [ 399 ]: 500588.33771, 3,   0.048,  4.884,  8.284, 4,  -0.015, -0.026, -0.028, 5, -339.750, 39.688,-65.313
Packet [ 398 ]: 500588.34268, 3,   0.029,  4.894,  8.188, 4,  -0.011, -0.029, -0.028
Packet [ 397 ]: 500588.34769, 3,   0.057,  4.922,  8.054, 4,   0.000, -0.031, -0.032, 5, -340.000, 39.563,-65.625
Packet [ 396 ]: 500588.35269, 3,   0.115,  4.970,  7.958, 4,   0.001, -0.027, -0.032
Packet [ 395 ]: 500588.35770, 3,   0.172,  5.009,  7.968, 4,  -0.007, -0.018, -0.032, 5, -339.938, 39.375,-65.875
Packet [ 394 ]: 500588.36270, 3,   0.201,  5.037,  8.016, 4,  -0.017, -0.010, -0.033
Packet [ 393 ]: 500588.36771, 3,   0.182,  5.028,  8.083, 4,  -0.026, -0.005, -0.034, 5, -340.500, 39.500,-65.813
Packet [ 392 ]: 500588.37269, 3,   0.182,  4.961,  8.140, 4,  -0.032, -0.010, -0.034
Packet [ 391 ]: 500588.37769, 3,   0.163,  4.942,  8.179, 4,  -0.040, -0.020, -0.032, 5, -340.500, 39.688,-65.563
Packet [ 390 ]: 500588.38269, 3,   0.086,  4.903,  8.236, 4,  -0.043, -0.024, -0.031
Packet [ 389 ]: 500588.38770, 3,   0.077,  4.903,  8.265, 4,  -0.045, -0.028, -0.029, 5, -340.438, 39.750,-66.000
Packet [ 388 ]: 500588.39271, 3,   0.124,  4.942,  8.246, 4,  -0.044, -0.031, -0.029
Packet [ 387 ]: 500588.39768, 3,   0.144,  4.922,  8.198, 4,  -0.035, -0.039, -0.032, 5, -340.500, 40.063,-65.688
Packet [ 386 ]: 500588.40269, 3,   0.201,  4.942,  8.140, 4,  -0.029, -0.040, -0.034
Packet [ 385 ]: 500588.40769, 3,   0.230,  4.970,  8.064, 4,  -0.023, -0.033, -0.037, 5, -340.188, 39.938,-65.563
Packet [ 384 ]: 500588.41270, 3,   0.211,  4.951,  8.006, 4,  -0.021, -0.028, -0.042
Packet [ 383 ]: 500588.41770, 3,   0.182,  4.999,  7.987, 4,  -0.020, -0.011, -0.044, 5, -339.813, 39.875,-65.438
Packet [ 382 ]: 500588.42271, 3,   0.153,  5.028,  8.025, 4,  -0.018, -0.005, -0.045
Packet [ 381 ]: 500588.42768, 3,   0.134,  5.085,  8.092, 4,  -0.021,  0.009, -0.037, 5, -340.188, 39.750,-65.563
Packet [ 380 ]: 500588.43269, 3,   0.115,  5.066,  8.188, 4,  -0.022,  0.012, -0.034
Packet [ 379 ]: 500588.43769, 3,   0.172,  5.018,  8.274, 4,  -0.021,  0.013, -0.023, 5, -340.063, 39.938,-65.313
Packet [ 378 ]: 500588.44270, 3,   0.172,  4.980,  8.313, 4,  -0.015,  0.013, -0.020
Packet [ 377 ]: 500588.44771, 3,   0.182,  4.903,  8.351, 4,  -0.010,  0.010, -0.020, 5, -340.188, 40.063,-65.563
Packet [ 376 ]: 500588.45268, 3,   0.220,  4.846,  8.226, 4,  -0.001,  0.007, -0.028
Packet [ 375 ]: 500588.45769, 3,   0.230,  4.836,  8.150, 4,   0.011, -0.010, -0.040, 5, -340.438, 40.563,-65.625
Packet [ 374 ]: 500588.46269, 3,   0.230,  4.836,  8.150, 4,   0.012, -0.013, -0.045
Packet [ 373 ]: 500588.46770, 3,   0.249,  4.875,  8.064, 4,   0.012, -0.013, -0.045, 5, -340.563, 40.625,-66.000
Packet [ 372 ]: 500588.47270, 3,   0.278,  4.875,  8.025, 4,   0.011, -0.015, -0.051
Packet [ 371 ]: 500588.47771, 3,   0.220,  4.913,  8.054, 4,   0.009, -0.011, -0.056, 5, -340.750, 40.563,-66.250
Packet [ 370 ]: 500588.48268, 3,   0.192,  4.932,  8.092, 4,   0.001, -0.004, -0.060
Packet [ 369 ]: 500588.48769, 3,   0.201,  4.951,  8.150, 4,  -0.004,  0.006, -0.064, 5, -340.875, 40.313,-66.000
Packet [ 368 ]: 500588.49269, 3,   0.172,  4.942,  8.159, 4,  -0.006,  0.006, -0.066
Packet [ 367 ]: 500588.49770, 3,   0.192,  4.942,  8.150, 4,  -0.006,  0.000, -0.070, 5, -340.688, 40.188,-65.875
Packet [ 366 ]: 500588.50270, 3,   0.163,  4.942,  8.140, 4,  -0.005, -0.002, -0.073
Packet [ 365 ]: 500588.50771, 3,   0.144,  4.922,  8.083, 4,  -0.002, -0.009, -0.075, 5, -341.000, 39.938,-65.688
Packet [ 364 ]: 500588.51268, 3,   0.163,  4.942,  8.035, 4,  -0.002, -0.010, -0.075
Packet [ 363 ]: 500588.51769, 3,   0.124,  4.942,  8.016, 4,  -0.007, -0.011, -0.073, 5, -341.063, 39.688,-65.313
